name, x_start, x_end, y_start, y_end, z
chip_0, 0.05275912, 0.55430088, -0.00688128, 0.00688128, 3.9560125
chip_1, 0.05275912, 0.55430088, -0.00688128, 0.00688128, 4.0560125
chip_2, 0.05275912, 0.55430088, -0.00688128, 0.00688128, 4.1560125
chip_3, 0.05275912, 0.55430088, -0.00688128, 0.00688128, 4.2560125
