name,r_start,r_end,z_start,z_end
VXD_0,30.1,31.5,-65.0,65.0
VXD_1,32.1,33.5,-65.0,65.0
VXD_2,51.1,53.05,-65.0,65.0
VXD_3,53.1,55.0,-65.0,65.0
VXD_4,74.1,75.6,-65.0,65.0
VXD_5,76.1,77.6,-65.0,65.0
VXD_6,102.1,103.2,-65.0,65.0
VXD_7,104.1,105.2,-65.0,65.0
