hit_ID,x,y,z,layer,px,py,pz,time,PDG,event
32,11.736980970396534,27.78874402256689,56.26656099036101,0,-1000,-1000,-1000,0.002903557848185301,-1000,16
33,4.631448110643906,-32.214999999999996,31.381093668942576,1,-1000,-1000,-1000,0.1401192545890808,-1000,16
34,-7.990940668897615,-31.55930873124335,40.13875878454221,1,-1000,-1000,-1000,0.12130726128816605,-1000,16
35,-8.985654580538785,-28.928380727760974,42.130384466993675,0,-1000,-1000,-1000,-0.009387889876961708,-1000,16
36,-27.417486456074677,18.141403455774572,46.659928024043666,1,-1000,-1000,-1000,0.05323025584220886,-1000,16
37,-15.210865126059625,28.56871810177763,55.380971421966734,1,-1000,-1000,-1000,0.02958090417087078,-1000,16
38,-13.174363513990084,27.193360678692105,56.359195589206536,0,-1000,-1000,-1000,-0.0015137374866753817,-1000,16
39,-27.41016964311958,12.650940371625204,46.91756562381976,0,-1000,-1000,-1000,0.08146823942661285,-1000,16
40,-28.846398990445742,14.540484158625258,48.20419145264274,1,-1000,-1000,-1000,0.09971709549427032,-1000,16
41,-19.20456950363727,26.914471584476168,57.73790601490286,1,-1000,-1000,-1000,-0.04416846111416817,-1000,16
42,-16.49657849857488,25.81725417495796,59.016348611393354,0,-1000,-1000,-1000,0.03317514434456825,-1000,16
43,26.122252626339506,15.76024710074675,51.4410224450865,0,-1000,-1000,-1000,0.11276762932538986,-1000,16
44,28.20187985936535,16.096490986088476,51.99225429251388,1,-1000,-1000,-1000,0.09783492237329483,-1000,16
45,32.214999999999996,-1.1144332219154396,59.692087880645126,1,-1000,-1000,-1000,-0.028319964185357094,-1000,16
46,30.165,-1.7836828334059356,60.40724494805364,0,-1000,-1000,-1000,-0.026398664340376854,-1000,16
47,-27.08380682897781,15.575945280006597,3.278985751736267,0,-1000,-1000,-1000,0.13611160218715668,-1000,16
48,28.211582790553074,10.716157882027154,31.420196240771737,0,-1000,-1000,-1000,0.1428873986005783,-1000,16
49,30.26250900647866,11.121692152106222,33.15764718337767,1,-1000,-1000,-1000,0.12860459089279175,-1000,16
50,30.697466655986474,-4.714703339613379,50.902414110852156,0,-1000,-1000,-1000,0.04959283024072647,-1000,16
51,14.273627819151615,28.956934505460964,45.720068347013694,1,-1000,-1000,-1000,0.09141179919242859,-1000,16
52,27.021586221959623,18.94597189309605,57.81145778842266,1,-1000,-1000,-1000,-0.010472359135746956,-1000,16
53,25.62625755766725,16.957685122405476,59.10336772608558,0,-1000,-1000,-1000,0.012371163815259933,-1000,16
54,-3.190137861157254,30.165,44.847834853082,0,-1000,-1000,-1000,0.10977619141340256,-1000,16
55,-2.933721609557921,32.214999999999996,45.7573541982941,1,-1000,-1000,-1000,0.10418117046356201,-1000,16
56,13.807414880421977,29.1500462276366,57.19649077125024,1,-1000,-1000,-1000,0.022497637197375298,-1000,16
57,13.220816163063162,27.174119361437874,58.159224137257425,0,-1000,-1000,-1000,0.002748372033238411,-1000,16
58,-28.61843336854178,-15.090841854780638,44.697620824806144,1,-1000,-1000,-1000,-0.0308303851634264,-1000,16
59,-27.13077909598301,-13.325448819721153,46.503358159720804,0,-1000,-1000,-1000,0.009693071246147156,-1000,16
60,10.866847635096706,-28.149165051121013,46.55177669642618,0,-1000,-1000,-1000,0.08900751918554306,-1000,16
61,11.09865978406275,-30.272049325695836,47.39909101934681,1,-1000,-1000,-1000,0.0875161811709404,-1000,16
62,-6.428212889262035,-32.206611771865596,56.769755966471,1,-1000,-1000,-1000,-0.04745347052812576,-1000,16
63,-6.493931853915318,-29.96048607480168,57.65872095822629,0,-1000,-1000,-1000,-0.02824174426496029,-1000,16
64,-29.331556557887517,-8.012302023426257,38.35762840253291,0,-1000,-1000,-1000,0.05783368647098541,-1000,16
65,-29.188187613684235,-8.358425272944935,38.67424848457476,0,-1000,-1000,-1000,0.053510650992393494,-1000,16
66,50.94815810121218,-54.23079519203369,-35.476412736709676,4,-1000,-1000,-1000,0.013783072121441364,-1000,16
