hit_ID,x,y,z,layer,px,py,pz,time,PDG,event
0,25.700313804834206,-124.3678026386888,-56.774687553577664,0,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.0022984195966273546,13,16
1,77.54827904540376,-331.06192995587,-152.04734599918834,1,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.03121434897184372,13,16
2,140.67041929051226,-535.8138242110717,-247.8813301748541,2,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.035722844302654266,13,16
3,-555.4741492879161,-33.70830831986797,-565.8513707468258,2,-1000,-1000,-1000,0.27531301975250244,-1000,16
4,-12.924950638705187,-342.4685,-357.0186757020531,1,-1000,-1000,-1000,0.09776932001113892,-1000,16
5,-25.62742500388495,124.38443903186158,-140.0870790429724,0,-1000,-1000,-1000,0.11452728509902954,-1000,16
6,498.5824314684842,-247.13981621332448,-511.41106619375273,2,-1000,-1000,-1000,0.207514688372612,-1000,16
7,295.76106492028765,167.77990160670655,-361.4682001475031,1,-1000,-1000,-1000,0.24517761170864105,-1000,16
8,-50.19583834533945,-119.52615213142649,-221.9961131982899,0,-1000,-1000,-1000,0.1743508279323578,-1000,16
9,83.71947953620669,95.6347499031694,-102.0185359873971,0,-1000,-1000,-1000,0.020019162446260452,-1000,16
10,-223.0579097829036,-256.7477902490042,-60.01765115006664,1,-1000,-1000,-1000,0.24876241385936737,-1000,16
11,-92.65058767822838,-546.2376629927963,-48.97377600918632,2,-1000,-1000,-1000,0.27208763360977173,-1000,16
12,-339.96850000000006,-14.949268826283639,-253.55353201466517,1,-1000,-1000,-1000,0.1390082687139511,-1000,16
13,-107.02522362624279,-325.3455880585899,-411.4355853925799,1,-1000,-1000,-1000,0.07956740260124207,-1000,16
14,-109.85842776064123,-324.37294785070617,-412.251344039299,1,-1000,-1000,-1000,0.06965583562850952,-1000,16
15,273.3618714071161,-202.28753163403383,-345.10805278737627,1,-1000,-1000,-1000,0.21041928231716156,-1000,16
16,272.609926248968,-203.25363079297287,-340.98112232708047,1,-1000,-1000,-1000,0.1336890459060669,-1000,16
17,-9.59973437225424,-129.4685,-155.2657137202276,0,-1000,-1000,-1000,0.2867073714733124,-1000,16
18,-47.125526317191095,121.00473647600218,-290.6878286185595,0,-1000,-1000,-1000,0.10833699256181717,-1000,16
19,-45.082991840784516,121.98836923787893,-289.3349105908047,0,-1000,-1000,-1000,0.19290795922279358,-1000,16
