hit_ID,x,y,z,layer,px,py,pz,time,PDG,event
0,233.431297433245,-783.2131581547924,-366.28750991193294,0,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.0956989973783493,13,16
1,235.54417135868397,-788.3303638126938,-368.69655513040607,0,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.10341286659240723,13,16
2,374.55145843646443,-1088.6011095829706,-516.482156764501,1,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.07255012542009354,13,16
3,543.1610092191971,-1385.2347672709038,-668.9501739643999,2,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.000847575138323009,13,16
4,235.83326188242805,-788.2386106047874,-368.48403140525363,0,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.0402112640440464,13,16
5,236.08078751278288,-788.1600495010542,-368.7890743840413,0,0.8028415441513062,-4.219010829925537,-1.918778419494629,0.0035566973965615034,13,16
6,-260.0030028991059,-1127.0668432146103,-309.214572564885,1,-1000,-1000,-1000,0.2634428143501282,-1000,16
7,-263.4671228095265,-1126.2889490755504,-307.0710588414447,1,-1000,-1000,-1000,0.25395268201828003,-1000,16
8,-422.2833599769917,699.5824774206626,-799.8457055178155,0,-1000,-1000,-1000,0.15093593299388885,-1000,16
9,-1490.9788269743879,84.16317458355876,-1221.2768391812247,2,-1000,-1000,-1000,0.19133882224559784,-1000,16
10,-1490.8759588739658,85.95120529190783,-1217.9376869091575,2,-1000,-1000,-1000,0.17190110683441162,-1000,16
11,-1491.0683296563734,82.60745864039578,-1215.6849056934082,2,-1000,-1000,-1000,0.09651614725589752,-1000,16
12,836.6355565079642,-1236.988768664852,-1138.0009826373055,2,-1000,-1000,-1000,0.22391971945762634,-1000,16
13,834.6059075603836,-1238.3590416162833,-1136.3934774124111,2,-1000,-1000,-1000,0.16158299148082733,-1000,16
14,837.4097965216471,-1236.4660575083587,-1135.879800793654,2,-1000,-1000,-1000,0.13378874957561493,-1000,16
15,246.54749604517167,1130.0883783203294,-1115.213480428103,1,-1000,-1000,-1000,0.06868331879377365,-1000,16
16,811.3221967245009,-98.28399308155517,-622.7038422443796,0,-1000,-1000,-1000,0.253233402967453,-1000,16
17,811.3267552670109,-98.25082722171291,-620.360217746127,0,-1000,-1000,-1000,0.19922234117984772,-1000,16
18,811.3610083668575,-98.00161741261925,-615.5388369995511,0,-1000,-1000,-1000,0.2186879962682724,-1000,16
19,811.4923296854754,-97.04618386385327,-620.8840006184738,0,-1000,-1000,-1000,0.18359419703483582,-1000,16
20,811.422008896846,-97.557805597014,-615.3462746303932,0,-1000,-1000,-1000,0.21691590547561646,-1000,16
21,-817.1485000000001,6.433006114759291,-615.8679480315099,0,-1000,-1000,-1000,0.21857036650180817,-1000,16
22,1246.476552727418,812.4145327576573,-834.6184416341416,2,-1000,-1000,-1000,0.2988593578338623,-1000,16
23,674.8626300173668,-460.9244310316893,-608.5787639014139,0,-1000,-1000,-1000,0.29373881220817566,-1000,16
24,673.0334975930991,-463.51572132485495,-608.1352758634407,0,-1000,-1000,-1000,0.2322499305009842,-1000,16
25,-414.3021851530799,-1079.904583611125,-890.3844173012384,1,-1000,-1000,-1000,0.26353907585144043,-1000,16
26,-413.00618758648903,-1080.404505038343,-890.8310684391437,1,-1000,-1000,-1000,0.23642884194850922,-1000,16
27,787.4902490753943,218.16616001390602,604.2697480461983,0,-1000,-1000,-1000,-0.0442064106464386,-1000,16
28,-623.6283322502189,536.5333676373023,597.2356130941787,0,-1000,-1000,-1000,-0.10139409452676773,-1000,16
29,809.6050636938355,110.77706368471239,598.9759044367354,0,-1000,-1000,-1000,-0.06814069300889969,-1000,16
30,324.14537423469585,-750.109193494482,595.2872550142525,0,-1000,-1000,-1000,0.08270693570375443,-1000,16
31,-770.7444250998982,271.4591870735145,601.6406423510147,0,-1000,-1000,-1000,0.015550545416772366,-1000,16
32,-743.2417915847809,352.6227156597522,598.470226058468,0,-1000,-1000,-1000,-0.11628766357898712,-1000,16
33,432.0234483186788,693.659398488538,583.5917173326978,0,-1000,-1000,-1000,0.007169556338340044,-1000,16
34,441.0371020129991,694.5387365560179,586.0267896470815,0,-1000,-1000,-1000,-0.08571917563676834,-1000,16
35,-592.0153410937347,-571.3853246721486,605.3043401482496,0,-1000,-1000,-1000,-0.053845278918743134,-1000,16
36,808.3049702933126,-120.23594564282072,595.6139121294607,0,-1000,-1000,-1000,-0.011052788235247135,-1000,16
37,812.7046992257597,-128.07291944404713,598.0113964668469,0,-1000,-1000,-1000,0.004347066394984722,-1000,16
38,-216.56502771602246,787.938865306342,601.495737162492,0,-1000,-1000,-1000,-0.1071314588189125,-1000,16
39,-797.4915371923184,-178.59991124609928,603.1674381799669,0,-1000,-1000,-1000,-0.04252276197075844,-1000,16
40,-647.8831787599727,507.10595534725314,605.6996238941075,0,-1000,-1000,-1000,-0.024737348780035973,-1000,16
41,430.52212006496154,-694.5723764244502,603.9546894994827,0,-1000,-1000,-1000,-0.029825707897543907,-1000,16
42,-810.4050898260612,-141.41037359425977,603.0284185881178,0,-1000,-1000,-1000,-0.11890305578708649,-1000,16
43,749.4859143964477,325.58030663643626,609.571455593202,0,-1000,-1000,-1000,-0.12287291139364243,-1000,16
44,275.29500193657185,769.3811761700669,602.9418577449387,0,-1000,-1000,-1000,-0.11733968555927277,-1000,16
45,-1130.7767308778648,-243.48212290477423,-1188.4668157542608,1,-1000,-1000,-1000,0.2725001871585846,-1000,16
46,710.8622938031988,414.22915038150325,-371.08730880816717,0,-1000,-1000,-1000,0.19292257726192474,-1000,16
47,654.0927456831089,-498.91741399184804,-627.0418788257064,0,-1000,-1000,-1000,0.1498606950044632,-1000,16
48,352.4703359390444,-1445.5648682895517,-668.6081114267417,2,-1000,-1000,-1000,0.27023768424987793,-1000,16
49,153.90901270474006,-808.2501067492165,-487.2711797626009,0,-1000,-1000,-1000,0.21484310925006866,-1000,16
50,154.1512562661306,-808.208339739972,-486.8820074576197,0,-1000,-1000,-1000,0.2517530024051666,-1000,16
51,152.3031106039906,-808.5269922420764,-484.57569948515675,0,-1000,-1000,-1000,0.11865193396806717,-1000,16
52,-1470.449323311758,226.89408461468736,-1112.7421399875125,2,-1000,-1000,-1000,0.09174270182847977,-1000,16
53,581.7342678053551,581.666397960528,-957.6759233107977,0,-1000,-1000,-1000,-0.0029856993351131678,-1000,16
54,513.1044664431047,635.9768936712397,-758.0794577458241,0,-1000,-1000,-1000,-0.1452702283859253,-1000,16
55,690.2666029160467,-447.550493560071,-606.9623787731259,0,-1000,-1000,-1000,0.2818654477596283,-1000,16
56,-1148.9679170315335,-133.33278661466744,-1254.1222455541138,1,-1000,-1000,-1000,0.06700154393911362,-1000,16
57,-1149.7158607146912,-127.26861943841227,-1244.011071192509,1,-1000,-1000,-1000,0.15711531043052673,-1000,16
58,-1148.8043927084054,-134.65860680028254,-1227.9873759564382,1,-1000,-1000,-1000,-0.026300495490431786,-1000,16
59,-474.57352943200766,665.228044300788,-833.5406993160047,0,-1000,-1000,-1000,-0.026868723332881927,-1000,16
60,-474.7699530368561,665.0893933802535,-832.7809944640642,0,-1000,-1000,-1000,0.05615197494626045,-1000,16
61,-411.82221626140057,-1080.861213175674,-532.354320569319,1,-1000,-1000,-1000,0.29067176580429077,-1000,16
62,-1098.8900383722712,360.9436782918505,-1098.4768206758176,1,-1000,-1000,-1000,0.22533567249774933,-1000,16
63,770.1483530482602,-289.4776277363318,25.007317831678726,0,-1000,-1000,-1000,0.21611298620700836,-1000,16
64,800.4708524398252,164.26265914301953,-1153.9059584016427,0,-1000,-1000,-1000,0.03480388596653938,-1000,16
65,801.7673370603096,158.02363261932248,-1153.785836237165,0,-1000,-1000,-1000,0.14781442284584045,-1000,16
66,178.80068920624214,-797.4498150524191,-1225.4968655236808,0,-1000,-1000,-1000,0.22316350042819977,-1000,16
67,179.62665655099227,-797.2781770644376,-1219.0413035917884,0,-1000,-1000,-1000,0.12744371592998505,-1000,16
68,178.01249026139755,-797.6136046766485,-1206.7437342167468,0,-1000,-1000,-1000,0.07586711645126343,-1000,16
69,177.40837484749215,-797.7391413032602,-1205.8355500368805,0,-1000,-1000,-1000,0.08877651393413544,-1000,16
70,178.40107148926813,-797.5328565689381,-1176.3401120963056,0,-1000,-1000,-1000,0.023149646818637848,-1000,16
71,178.02508350793738,-797.6109877699246,-1143.2552262799013,0,-1000,-1000,-1000,0.15288801491260529,-1000,16
72,1099.3446196224513,-359.56764120768287,-563.5562708331538,1,-1000,-1000,-1000,-0.1494157463312149,-1000,16
73,1098.9187679979832,-360.8567124735762,-565.0515764110701,1,-1000,-1000,-1000,-0.12977875769138336,-1000,16
74,227.04156987012982,-1128.539456228307,-1247.713867049477,1,-1000,-1000,-1000,0.0456523559987545,-1000,16
75,229.64820164234797,-1128.0209649316082,-1249.5098609046445,1,-1000,-1000,-1000,-0.08191464096307755,-1000,16
76,728.5588764621019,370.1038524752215,-912.1292372652614,0,-1000,-1000,-1000,0.07542901486158371,-1000,16
77,1480.2441775492366,197.43570688986406,-727.7115717564584,2,-1000,-1000,-1000,0.16000236570835114,-1000,16
78,-944.8241656336822,-667.1919865073647,-708.0382115936958,1,-1000,-1000,-1000,0.1809127926826477,-1000,16
79,841.7132601824721,-1233.5606684464103,-977.9071215257961,2,-1000,-1000,-1000,0.25523728132247925,-1000,16
80,844.3276238716674,-1231.7956381672686,-972.3921181622588,2,-1000,-1000,-1000,0.23131071031093597,-1000,16
81,-1005.9931723108803,-570.8012974349842,-395.35097765045947,1,-1000,-1000,-1000,0.28411775827407837,-1000,16
82,-1006.2582821237959,-570.3333131675035,-395.5004254027209,1,-1000,-1000,-1000,0.2697679102420807,-1000,16
83,1059.9837900250045,462.9364573357103,-1021.0611465905729,1,-1000,-1000,-1000,0.12738744914531708,-1000,16
84,1060.6355544236046,461.4661004124938,-1021.8774446648606,1,-1000,-1000,-1000,0.09703626483678818,-1000,16
85,1059.1199367432816,464.8852791126472,-1021.5569902397115,1,-1000,-1000,-1000,0.16353340446949005,-1000,16
86,-774.0413509160204,262.182526904455,-1021.6315131323728,0,-1000,-1000,-1000,-0.13258245587348938,-1000,16
87,-774.2080711847527,261.7134210274712,-1018.3827610872011,0,-1000,-1000,-1000,-0.11616424471139908,-1000,16
88,-368.73312951903677,-1096.3167512728087,-814.9903607174554,1,-1000,-1000,-1000,-0.1652684509754181,-1000,16
89,1397.631728504198,-510.2831219254949,-1086.6320323083635,2,-1000,-1000,-1000,-0.045939479023218155,-1000,16
90,700.1860999813707,920.7524339157898,-980.8023100673676,1,-1000,-1000,-1000,0.12236203253269196,-1000,16
91,1142.5458477909015,-961.7029961960372,-1154.4172894224323,2,-1000,-1000,-1000,0.26290178298950195,-1000,16
92,-73.92551868474428,-1154.337930108137,-465.52913963831855,1,-1000,-1000,-1000,0.2835572063922882,-1000,16
93,242.82706703048532,786.0188766283987,-364.4492441137472,0,-1000,-1000,-1000,0.24857984483242035,-1000,16
94,-790.6648813460378,206.83574904840296,-1130.4489332329442,0,-1000,-1000,-1000,0.009524744935333729,-1000,16
95,-122.9772196102405,1144.6062163927577,-637.4934505597664,1,-1000,-1000,-1000,-0.10858310014009476,-1000,16
96,600.1330865201367,-554.6083272472482,-131.9115904062519,0,-1000,-1000,-1000,0.25258681178092957,-1000,16
97,599.0800208482588,-555.7358852599853,-130.8778576455344,0,-1000,-1000,-1000,0.25497767329216003,-1000,16
98,-881.6619480329316,-740.257833053053,-137.6372087222509,1,-1000,-1000,-1000,0.28924381732940674,-1000,16
99,786.3726193756726,-222.15503265348602,-207.87253372250294,0,-1000,-1000,-1000,0.24996891617774963,-1000,16
100,-1446.1159634750786,350.1153190562593,-650.506494741736,2,-1000,-1000,-1000,0.2570178508758545,-1000,16
101,797.3836674032464,-179.11900917020276,-677.5925700571499,0,-1000,-1000,-1000,-0.1759319305419922,-1000,16
102,797.5098576367885,-178.51174842706604,-677.2645000577668,0,-1000,-1000,-1000,-0.16657821834087372,-1000,16
103,802.1434342661885,-182.93432013560675,-663.263674188252,0,-1000,-1000,-1000,-0.14933407306671143,-1000,16
104,-814.5247088458098,66.27309949240514,-693.0040170048359,0,-1000,-1000,-1000,0.10925843566656113,-1000,16
105,-575.1093895635108,-1003.5526682649521,-375.2574603885853,1,-1000,-1000,-1000,-0.17955097556114197,-1000,16
106,62.084829985289204,1149.4867489122475,-890.6201286413874,1,-1000,-1000,-1000,-0.03230062872171402,-1000,16
107,760.577162362671,-313.7485013293557,-553.3775102984371,0,-1000,-1000,-1000,0.2789022922515869,-1000,16
108,-383.826102289257,-721.4485797169775,-969.6451398464627,0,-1000,-1000,-1000,0.19550862908363342,-1000,16
109,-386.3284961785002,-720.1519437158237,-967.5073179273453,0,-1000,-1000,-1000,0.11087310314178467,-1000,16
110,-760.1618784214545,871.7956846542496,-675.6865666654292,1,-1000,-1000,-1000,0.18348897993564606,-1000,16
111,-893.1143075110162,-1196.9219563411068,-824.1060412128852,2,-1000,-1000,-1000,0.22840118408203125,-1000,16
112,-518.8458010793739,631.3059714909003,-642.8722890359682,0,-1000,-1000,-1000,-0.005870068445801735,-1000,16
113,163.56466582030393,800.6158971202194,-865.5174098199905,0,-1000,-1000,-1000,0.12626774609088898,-1000,16
114,408.78688643011026,-713.9223260736276,-1184.3455378373117,0,-1000,-1000,-1000,0.19199785590171814,-1000,16
115,330.4551515854889,-1450.7166199370329,-778.6311719425073,2,-1000,-1000,-1000,0.20121979713439941,-1000,16
116,766.4213006425584,-283.6232934853664,-200.17958006684012,0,-1000,-1000,-1000,0.22148749232292175,-1000,16
117,-726.2595178177035,893.1500684539167,-1169.70974555178,1,-1000,-1000,-1000,0.09109538048505783,-1000,16
118,-725.0914746268722,894.1086567274035,-1167.172597688173,1,-1000,-1000,-1000,0.05209454521536827,-1000,16
119,-547.1877705934737,1012.7955936872972,-681.2603299008157,1,-1000,-1000,-1000,0.2590269446372986,-1000,16
120,-550.1426033137909,1011.2162026934159,-679.9175003116859,1,-1000,-1000,-1000,0.2796901762485504,-1000,16
121,-817.1485000000001,-3.8795461168254146,-548.9406762298192,0,-1000,-1000,-1000,0.26136431097984314,-1000,16
122,-817.1485000000001,-2.8556429931659566,-522.3245281849902,0,-1000,-1000,-1000,0.21281498670578003,-1000,16
123,-817.1485000000001,7.212234266432831,-510.2038281240515,0,-1000,-1000,-1000,0.09911412745714188,-1000,16
124,-715.3578680275543,406.23377667958016,-531.1147427815068,0,-1000,-1000,-1000,0.19403690099716187,-1000,16
125,-713.0134424280159,410.4033349716251,-528.1393154868426,0,-1000,-1000,-1000,0.20053063333034515,-1000,16
126,-715.3768777458881,406.1999679169034,-519.7572897989174,0,-1000,-1000,-1000,0.23148344457149506,-1000,16
127,-711.970071004125,412.25896987555393,-513.0825384102258,0,-1000,-1000,-1000,0.2039160132408142,-1000,16
128,981.851541448811,611.4564112081224,-1172.2779821880217,1,-1000,-1000,-1000,-0.03654798865318298,-1000,16
129,981.0511409809192,612.7203816703995,-1169.9081447203703,1,-1000,-1000,-1000,-0.1751154512166977,-1000,16
130,980.884151415475,612.9840870112845,-1158.8413108094594,1,-1000,-1000,-1000,-0.08638861030340195,-1000,16
131,982.6767012901623,610.1533414224776,-1143.5456873299584,1,-1000,-1000,-1000,-0.14945651590824127,-1000,16
132,979.6078539651404,614.9995809334105,-1133.2273040697985,1,-1000,-1000,-1000,-0.10984452813863754,-1000,16
133,983.1016793910645,609.4822276635491,-1118.1155851427588,1,-1000,-1000,-1000,-0.16977305710315704,-1000,16
134,413.5111197042807,711.2660222998471,-753.2111247421113,0,-1000,-1000,-1000,0.0715561956167221,-1000,16
135,413.6971901128728,711.1614001315822,-753.3364708385108,0,-1000,-1000,-1000,0.053324442356824875,-1000,16
136,415.0283304673194,703.9943586000935,-763.3762480295424,0,-1000,-1000,-1000,-0.0911734327673912,-1000,16
137,411.60589263489635,712.3372780064576,-759.7231495027593,0,-1000,-1000,-1000,-0.0835842564702034,-1000,16
138,416.1611813419951,703.3054567222417,-753.0364493954014,0,-1000,-1000,-1000,-0.07379554957151413,-1000,16
139,-1059.252596389611,-450.8340101632747,-716.0574225309151,1,-1000,-1000,-1000,0.1743248999118805,-1000,16
140,615.4692221179571,545.8906305072042,-550.6133980045398,0,-1000,-1000,-1000,0.2485080063343048,-1000,16
141,615.1865971173579,546.2147585531972,-549.9383672801102,0,-1000,-1000,-1000,0.2886864244937897,-1000,16
142,616.9497019324795,544.192744515533,-550.8392957674811,0,-1000,-1000,-1000,0.1799968183040619,-1000,16
143,-1208.8525332424074,-876.8248838935496,-932.8852049229281,2,-1000,-1000,-1000,-0.13217085599899292,-1000,16
144,-322.86345281387025,750.6660105445073,-532.4333341276393,0,-1000,-1000,-1000,-0.1572418212890625,-1000,16
145,318.1464998028113,-1459.0807512538486,-1083.3068738864042,2,-1000,-1000,-1000,-0.07267208397388458,-1000,16
146,2.9113945421110934,817.1485000000001,-827.1244023131202,0,-1000,-1000,-1000,-0.1295267641544342,-1000,16
147,1126.1193144251033,264.222540212236,-379.6178494706228,1,-1000,-1000,-1000,0.2849135398864746,-1000,16
148,-566.5241227428118,-1008.4161618454511,-1235.765648755233,1,-1000,-1000,-1000,0.017650626599788666,-1000,16
149,-11.428565190643647,-817.1485000000001,-900.2076630830777,0,-1000,-1000,-1000,0.0727701187133789,-1000,16
150,-641.1395102243874,-506.7587582326101,-853.5148896897458,0,-1000,-1000,-1000,0.11365987360477448,-1000,16
151,-805.8942170941928,829.7606945069178,-688.9954518402169,1,-1000,-1000,-1000,-0.03986642137169838,-1000,16
152,-660.7058722618369,949.3922026776316,-583.0155571128232,1,-1000,-1000,-1000,0.14490514993667603,-1000,16
153,-661.1227532365244,949.0986019695339,-582.6156645157666,1,-1000,-1000,-1000,0.11254919320344925,-1000,16
154,555.5491125151398,-1380.2419130803323,-726.1621779898468,2,-1000,-1000,-1000,0.21812966465950012,-1000,16
155,555.9023740385383,-1380.0995358951145,-726.2078762733352,2,-1000,-1000,-1000,0.2157636284828186,-1000,16
156,1261.4603015249388,799.3807450037089,-732.0127234006129,2,-1000,-1000,-1000,0.2198980152606964,-1000,16
157,121.02321726207181,808.1967622999008,-489.04714574789,0,-1000,-1000,-1000,0.29753854870796204,-1000,16
158,-664.2874453037645,-485.47368748354177,-754.1716468532809,0,-1000,-1000,-1000,0.19538627564907074,-1000,16
159,-662.7233356232637,-487.5362752552347,-756.542310874017,0,-1000,-1000,-1000,0.21680790185928345,-1000,16
160,-664.5396530188109,-485.14110176051577,-751.5512763255491,0,-1000,-1000,-1000,0.1495753973722458,-1000,16
